,library,dependencies,size,size_full
10,requests,"['idna', 'urllib3', 'chardet', 'certifi']",3.872,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi
"
11,python-dateutil,['six'],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
12,packaging,['pyparsing'],0.23600000000000065,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 236K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/packaging
"
13,six,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
14,pyparsing,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
15,jupyter,"['qtconsole', 'ipykernel', 'nbconvert', 'notebook', 'ipywidgets', 'jupyter-console']",79.9,"39M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/notebook 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 9.9M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jedi 7.4M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pygments 4.5M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/widgetsnbextension 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tornado 2.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/nbconvert 1.6M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/bleach 1.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/nbformat 1.0M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pycparser 1004K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jinja2 948K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/qtconsole 932K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/ipykernel 864K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/ipywidgets 772K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/traitlets 692K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cffi 660K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/qtpy 620K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/parso 564K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wcwidth 540K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jsonschema 520K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/nbclient 388K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pexpect 344K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyrsistent 236K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/packaging 212K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/testpath 124K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/send2trash 120K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/defusedxml 108K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/terminado 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markupsafe 88K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/ptyprocess 84K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/webencodings 76K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/backcall
"
16,cycler,['six'],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
17,kiwisolver,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
18,plotly,"['tenacity', 'six']",133.152,"133M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/plotly 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 152K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tenacity
"
19,pytz,[],2.8000000000000007,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz
"
20,sklearn,['scikit-learn'],171.1,"82M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/sklearn 62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 2.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/joblib
"
21,notebook,"['tornado', 'jupyter-core', 'nbconvert', 'Send2Trash', 'prometheus-client', 'jupyter-client', 'jinja2', 'traitlets', 'argon2-cffi', 'nbformat', 'pyzmq', 'ipython-genutils', 'terminado', 'ipykernel']",72.928,"39M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/notebook 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 9.9M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jedi 7.4M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pygments 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tornado 2.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/nbconvert 1.6M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/bleach 1.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/nbformat 1.0M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pycparser 1004K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jinja2 932K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/ipykernel 772K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/traitlets 692K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cffi 620K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/parso 564K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wcwidth 540K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jsonschema 520K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/nbclient 388K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pexpect 344K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyrsistent 236K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/packaging 212K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/testpath 124K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/send2trash 120K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/defusedxml 108K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/terminado 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markupsafe 88K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/ptyprocess 84K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/webencodings 76K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/backcall
"
22,fastai,"['pandas', 'pyyaml', 'fastcore', 'pip', 'scikit-learn', 'torchvision', 'spacy', 'torch', 'fastprogress', 'scipy', 'matplotlib', 'pillow', 'requests', 'packaging']",1980.3159999999998,"1.6G /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/torch 76M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/spacy 62M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/scipy 54M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/torchvision 47M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pandas 35M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/matplotlib 31M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pydantic 29M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/blis 25M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/numpy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.3M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/srsly 3.0M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/thinc 2.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pytz 2.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/joblib 1.7M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/chardet 1.6M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/fastai 1004K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jinja2 884K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/urllib3 592K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/idna 576K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/click 468K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tqdm 408K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/requests 404K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/preshed 396K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/immutables 348K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/fastcore 328K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pathy 288K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/certifi 236K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/packaging 172K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/typer 160K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wasabi 124K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/cymem 116K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/murmurhash 116K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/catalogue 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markupsafe 68K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/fastprogress 24K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/contextvars
"
23,ipykernel,"['tornado', 'jupyter-client', 'traitlets', 'ipython']",23.939999999999994,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 9.9M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jedi 7.4M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pygments 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tornado 932K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/ipykernel 772K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/traitlets 620K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/parso 564K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/wcwidth 388K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pexpect 88K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/ptyprocess 76K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/backcall
"
24,ipython-genutils,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
25,traitlets,"['ipython-genutils', 'decorator', 'six']",0.7720000000000002,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 772K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/traitlets
"
26,nbconvert,"['traitlets', 'testpath', 'jinja2', 'pandocfilters', 'nbformat', 'nbclient', 'defusedxml', 'bleach', 'jupyter-core', 'entrypoints', 'pygments', 'mistune', 'jupyterlab-pygments']",19.436000000000003,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 7.4M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pygments 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tornado 2.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/nbconvert 1.6M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/bleach 1.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/nbformat 1004K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jinja2 772K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/traitlets 540K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jsonschema 520K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/nbclient 344K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyrsistent 236K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/packaging 212K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/testpath 120K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/defusedxml 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markupsafe 84K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/webencodings
"
27,jinja2,['MarkupSafe'],1.1079999999999988,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1004K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jinja2 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markupsafe
"
28,tornado,[],3.1999999999999993,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tornado
"
29,markupsafe,[],0.1039999999999992,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 104K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/markupsafe
"
30,decorator,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
31,jupyter-core,['traitlets'],0.7720000000000002,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 772K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/traitlets
"
32,sympy,['mpmath'],67.9,"64M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/sympy 11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.9M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/mpmath 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
33,jsonschema,"['attrs', 'setuptools', 'six', 'pyrsistent', 'importlib-metadata']",0.8839999999999986,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 540K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jsonschema 344K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyrsistent
"
34,jupyter-client,"['python-dateutil', 'traitlets', 'pyzmq', 'tornado', 'jupyter-core']",3.9719999999999978,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 3.2M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tornado 772K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/traitlets
"
35,pickleshare,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
36,pygments,[],7.399999999999999,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 7.4M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pygments 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
37,pyzmq,[],0.0,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools
"
38,nbformat,"['jsonschema', 'traitlets', 'jupyter-core', 'ipython-genutils']",2.7560000000000002,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 1.1M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/nbformat 772K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/traitlets 540K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/jsonschema 344K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pyrsistent
"
39,tqdm,[],0.46799999999999997,"11M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/pip 3.8M /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/setuptools 468K /home/ubuntu/ve/randomenv/lib/python3.6/site-packages/tqdm
"
